N,model,beta,sem,trueb,lci,uci
100,1,1.5477232,.10083129,.5,1.3500938,1.7453525
1100,1,1.2540944,.025224993,.5,1.2046534,1.3035353
2100,1,1.2827419,.019506684,.5,1.2445089,1.3209749
3100,1,1.2604243,.014852341,.5,1.2313137,1.2895348
4100,1,1.2726905,.013348379,.5,1.2465277,1.2988534
5100,1,1.2668844,.011620786,.5,1.2441077,1.2896612
6100,1,1.271727,.011006546,.5,1.2501541,1.2932998
7100,1,1.2842972,.010364715,.5,1.2639824,1.304612
8100,1,1.272776,.0096784299,.5,1.2538062,1.2917458
9100,1,1.2743444,.008712641,.5,1.2572677,1.2914212
10100,1,1.2673773,.0083815278,.5,1.2509495,1.283805
100,2,1.5475127,.10144963,.5,1.3486713,1.746354
1100,2,1.253978,.025228279,.5,1.2045306,1.3034254
2100,2,1.282497,.019508297,.5,1.2442608,1.3207333
3100,2,1.2602323,.014851851,.5,1.2311227,1.2893419
4100,2,1.2726852,.013350083,.5,1.246519,1.2988514
5100,2,1.2668637,.011622698,.5,1.2440832,1.2896442
6100,2,1.2717686,.011003875,.5,1.250201,1.2933362
7100,2,1.2843125,.010365357,.5,1.2639964,1.3046286
8100,2,1.2728424,.0096803103,.5,1.2538691,1.2918158
9100,2,1.2743654,.0087139178,.5,1.2572862,1.2914447
10100,2,1.267313,.0083821462,.5,1.2508841,1.283742
100,3,1.5461879,.10107829,.5,1.3480744,1.7443013
1100,3,1.2548512,.025208376,.5,1.2054428,1.3042597
2100,3,1.2825464,.019470526,.5,1.2443842,1.3207086
3100,3,1.2602925,.014830601,.5,1.2312245,1.2893605
4100,3,1.2737639,.013320815,.5,1.2476552,1.2998726
5100,3,1.2672198,.011594835,.5,1.244494,1.2899456
6100,3,1.2719743,.01099413,.5,1.2504258,1.2935228
7100,3,1.283967,.010344706,.5,1.2636914,1.3042426
8100,3,1.2725952,.0096675977,.5,1.2536467,1.2915436
9100,3,1.2749085,.0087072905,.5,1.2578423,1.2919748
10100,3,1.2678598,.0083711678,.5,1.2514523,1.2842673
100,4,.56614184,.092073284,.5,.3856782,.74660546
1100,4,.4608061,.020003762,.5,.42159873,.50001347
2100,4,.50114375,.015591321,.5,.47058478,.53170276
3100,4,.51345187,.01209808,.5,.48973963,.53716409
4100,4,.49749804,.010775093,.5,.47637886,.51861721
5100,4,.50834519,.0097379871,.5,.48925874,.52743167
6100,4,.48577407,.0089629283,.5,.46820673,.50334144
7100,4,.48519111,.0085025681,.5,.46852607,.50185615
8100,4,.50431943,.0078068385,.5,.48901802,.51962084
9100,4,.50522941,.0073006419,.5,.49092016,.5195387
10100,4,.49279222,.0069380091,.5,.47919372,.50639069
100,5,.55482429,.092147492,.5,.37421522,.7354334
1100,5,.46057123,.020017957,.5,.42133602,.49980643
2100,5,.50069195,.015592254,.5,.47013113,.53125274
3100,5,.5135085,.012098311,.5,.4897958,.53722119
4100,5,.49745956,.010776117,.5,.47633836,.51858073
5100,5,.50816989,.0097384527,.5,.48908252,.52725726
6100,5,.48582417,.0089658983,.5,.46825102,.50339735
7100,5,.48521063,.0085027926,.5,.46854517,.50187612
8100,5,.50425279,.0078084711,.5,.4889482,.51955742
9100,5,.50527197,.0073007927,.5,.49096242,.5195815
10100,5,.49279189,.0069383462,.5,.47919273,.50639105
