4WD,4WD TRL
4WD TRAIL,4WD TRL
FWD,4WD TRL
AL,ALLEY
ALLY,ALLEY
ALY,ALLEY
ALTERNATE,ALT
ARRYO,ARROYO
AV,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNUE,AVE
AVENUES,AVS
AVES,AVS
BAZAAR,BAZR
BAZAR,BAZR
BEACH,BCH
BEND,BND
BL,BLVD
BLV,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BULEVAR,BLVD
BOROUGH,BORO
BRDG,BRG
BRIDGE,BRG
BRIDGES,BRG
BDWY,BRWY
BRDWY,BRWY
BROADWAY,BRWY
BLUFF,BLF
BRANCH,BR
BROOK,BRK
BUSINESS RT,BUS RTE
BSRT,BUS RTE
BSRTE,BUS RTE
BUSROUTE,BUS RTE
BUSRT,BUS RTE
BUSRTE,BUS RTE
BUS CTR,BSPK
BUS PK,BSPK
BUSPARK,BSPK
BUSCTR,BSPK
BUSCENTR,BSPK
BUSCENTER,BSPK
BUS PARK,BSPK
BUSINESS PK,BSPK
BUSINESS CTR,BSPK
BY PASS,BYPASS
BYP,BYPASS
BYPA,BYPASS
BYPAS,BYPASS
BY-PASS,BYPASS
BYPS,BYPASS
CIRCULO,CIR
CIRCLE,CIR
CIRCL,CIR
CRCL,CIR
CRCLE,CIR
COHWY,CNTY HWY
C R,CR
CORD,CR
CNTY RD,CR
COUNTY ROUTE,CNTY RT
CRT,CT
COURT,CT
CORTE,CT
CORT,CT
CLIFFS,CLFS
COMPLEX,CPLX
CRT HSE,CTHS
CT HOUSE,CTHS
COURTHSE,CTHS
CT HSE,CTHS
CRTHSE,CTHS
COURT HSE,CTHS
COURTHOUSE,CTHS
COVE,CV
CAUSEWAY,CSWY
COURTYARD,CTYD
CNNCT,CNCN
CONNECTION,CNCN
CORNER,COR
CORNERS,CORS
CRESCENT,CRES
CRESENT,CRES
CRSCNT,CRES
CRSENT,CRES
CRSNT,CRES
CREEK,CRK
CRUCE,CRU
CRUC,CRU
CROSSING,XING
CRSG,XING
CRSSNG,XING
DRI,DR
DRIVE,DR
DRV,DR
DIVIDE,DV
DRIVEWAY,DRWY
EXPRESO,EXPO
EXP,EXWY
EXPR,EXWY
EXPRESS,EXWY
EXPRESSWAY,EXWY
EXPW,EXWY
EXPWAY,EXWY
EXPWY,EXWY
EXPY,EXWY
XWAY,EXWY
XWAY,EXWY
XWY,EXWY
XWY,EXWY
EXCHANGE,EXCH
EXTNSN,EXTN
EXTENSION,EXTN
F-M,FM
FARM MAINTENANCE,FM
FARM MARKET,FM
FARM TO MARKET,FM
FMRD,FM RD
FREEWAY,FRWY
FREEWY,FRWY
FREEWY,FRWY
FRWAY,FRWY
FRWAY,FRWY
FWY,FRWY
FWY,FRWY
FERRY CROSSING,FRY
FERRY,FRY
GARDEN,GDN
GARDENS,GDN
GDNS,GDN
GDS,GDN
H C,HCR
H C R,HCR
HC,HCR
HC RT,HCR
HC RTE,HCR
HCO,HCR
HCRT,HCR
HGWY CONTRACT,HCR
HIGHWAY CONTRACT,HCR
HIWAY CONTRACT,HCR
HWC,HCR
HWY CONTRACT,HCR
HWY CONTRACT ROUTE,HCR
LOCAL HCR,HCR
HOL,HLLW
HOLLOW,HLLW
HOLW,HLLW
HGWY,HWY
HGY,HWY
HI,HWY
HIGHWAY,HWY
HIGHWY,HWY
HIWAY,HWY
HIWY,HWY
HW,HWY
HWAY,HWY
HY,HWY
HYWY,HWY
I H,I
IH,I
INTERSTATE,I
INTERSTATE HIGHWAY,I
INTERSTATE HWY,I
IS,I
INTERCHANGE,ICHG
INTERSECTION,INTR
ISLAND,ISLE
ISLANDS,ISLE
ISLES,ISLE
IND PK,INPK
IND PARK,INPK
INCTR,INPK
IPRK,INPK
JCTION,JCT
JCTN,JCT
JNCT,JCT
JUNC,JCT
JUNCT,JCT
JUNCTION,JCT
JUNCTN,JCT
JUNCTON,JCT
JOHN F KENNEDY,JFK
J F KENNEDY,JFK
LAKES,LK
LKS,LK
LAKE,LK
LA,LN
LE,LN
LANE,LN
LAND,LNDG
LANDING,LNDG
LANDINGS,LNDG
LNDNG,LNDG
LOOP,LP
LOWER,LWR
LOWR,LWR
L B JOHNSON,LBJ
LYNDON B JOHNSON,LBJ
MARGINAL,MARG
MI POST,MILE
MILE POST,MILE
MILES,MILE
MP,MILE
MOTORWAY,MTWY
MOTORWAY,MTWY
M L KING,MLK
MARTIN LUTHER KING,MLK
MARTIN L KING,MLK
N F D,NFD
OVERPASS,OVPS
OUTLET,OTLT
PAR RD,PARISH RD
PAR ROAD,PARISH RD
PARISH ROAD,PARISH RD
PARRD,PARISH RD
PRRD,PARISH RD
PARK,PK
PRK,PK
PASEO,PSO
PARADERO,PDA
PIKE,PKE
PSTA,PISTA
PAVILIONS,PAVL
PAVILION,PAVL
PARK WAY,PKWY
PARKWAY,PKWY
PARKWY,PKWY
PKW,PKWY
PKWAY,PKWY
PKY,PKWY
PWY,PKWY
PLACE,PL
PLC,PL
PLAIN,PLN
PLAINS,PLN
PLNS,PLN
PSC,PS
POINT,PT
PUENTE,PTE
RAMAL,RML
RMP,RP
RAMP,RP
ROAD,RD
RIDGE,RDG
ROADS,RDS
ROADWAY,RDWY
R T,RT
ROUTE NO,RT
ROUTE NUMBER,RT
ROUTES,RT
ROUTE,RT
RT NO,RT
RTE,RT
RAPIDS,RPDS
KEYSTONE ROUTE,RR
KEYSTONE RT,RR
KEYSTONE RTE,RR
MTD ROUTE,RR
MTD RT,RR
MTD RTE,RR
R F D,RR
R NO,RR
R R,RR
R R NO,RR
R RT,RR
RFD,RR
RFD ROUTE,RR
RR NO,RR
RRT,RR
RRTE,RR
RURAL,RR
RURAL ROUTE,RR
RURAL ROUTE NO,RR
RURAL RT,RR
SEARING ROUTE,RR
SEARING RT,RR
SEARING RTE,RR
SRA,RR
SUBURBAN ROUTE,RR
SUBURBAN RT,RR
SUBURBAN RTE,RR
SKYWAY,SKWY
SENDERO,SNDR
SPEEDWAY,SPDWY
SPG,SPR
SPGS,SPR
SPRG,SPR
SPRING,SPR
SPRINGS,SPR
SQUARE,SQR
SQU,SQR
SQURE,SQR
STAR ROUTE,SR
STAR RT,SR
SER RD,SRV RD
SRVC,SRV RD
SRVRD,SRV RD
SVC RD,SRV RD
SVRD,SRV RD
STREET,ST
US ROUTE,US RT
S RT,ST RT
ST HI,ST HWY
ST HIGHWAY,ST HWY
STATE HWY,ST HWY
ST HY,ST HWY
STHW,ST HWY
STHWY,ST HWY
STHY,ST HWY
STATE RD,ST RD
ST ROAD,ST RD
STATE ROAD,ST RD
STRD,ST RD
S R,ST RT
SR,ST RT
ST R,ST RT
ST ROUTE,ST RT
STATE RTE,ST RT
ST RTE,ST RT
STATE ROUTE,ST RT
STATE RT,ST RT
STRT,ST RT
STR,STRA
STRAV,STRA
STRAVE,STRA
STRAVEN,STRA
STRAVENUE,STRA
STRAVN,STRA
STRVN,STRA
STRVNUE,STRA
STREETS,STS
TERR,TER
TERRA,TER
TERRACE,TER
TRAFFICWAY,TFWY
THFR,THORO
THOROFARE,THORO
THOROUGHFARE,THORO
THROUGHWAY,THWY
THRUWAY,THWY
TNPK,TPKE
TNPKE,TPKE
TPK,TPKE
TRNPK,TPKE
TURNPIKE,TPKE
TURNPK,TPKE
TRAILS,TRL
TRAIL,TRL
TUN,TUNL
TUNNEL,TUNL
TOWNSHIP HWY,TWP HWY
TW HWY,TWP HWY
TWHY,TWP HWY
TWP HIWAY,TWP HWY
TWP HY,TWP HWY
TWPHWY,TWP HWY
TWPHY,TWP HWY
TOWNSHIP RD,TWP RD
TW RD,TWP RD
TWPRD,TWP RD
TWPROAD,TWP RD
TWRD,TWP RD
UNNAMED RD,UN RD
UNDERPASS,UNPS
UNP,UNPS
UPPER,UPPR
U S HWY,US HWY
U S HY,US HWY
UNITED STATES HWY,US HWY
US HWY,US HWY
US HY,US HWY
USHW,US HWY
USHWY,US HWY
USHY,US HWY
U S RT,US RT
US RT,US RT
USROUTE,US RT
USRT,US RT
USRTE,US RT
VALL,VAL
VALLEY,VAL
VALLY,VAL
VLY,VAL
VEREDA,VRDA
WALK,WK
WALKWAY,WLKWY
WALKWY,WLKWY
WKWY,WLKWY
WDS,WOOD
WOODS,WOOD
